drug_a,drug_b,interaction_type,severity,mechanism,clinical_effect,recommendation,evidence_level,source
Warfarin,Aspirin,pharmacodynamic,major,Additive anticoagulant and antiplatelet effects,Increased risk of bleeding including gastrointestinal hemorrhage,Avoid combination; if unavoidable monitor INR closely and watch for bleeding signs,A,Hansten & Horn Drug Interactions Analysis
Warfarin,Fluconazole,pharmacokinetic,major,Fluconazole inhibits CYP2C9 reducing warfarin metabolism,Elevated warfarin plasma levels leading to INR increase and bleeding risk,Monitor INR closely; reduce warfarin dose by 25-50% as needed,A,Clinical Pharmacokinetics 2001
Simvastatin,Amiodarone,pharmacokinetic,major,Amiodarone inhibits CYP3A4 and CYP2C9 reducing statin clearance,Markedly elevated statin levels increasing risk of myopathy and rhabdomyolysis,Do not exceed simvastatin 20 mg/day; consider alternative statin,A,FDA Drug Safety Communication 2011
Metformin,Contrast_Iodine,pharmacodynamic,major,Contrast-induced nephropathy reduces metformin excretion,Accumulation of metformin leading to lactic acidosis risk,Hold metformin 48 hours before and after iodinated contrast administration,B,ACR Manual on Contrast Media 2022
Clopidogrel,Omeprazole,pharmacokinetic,moderate,Omeprazole inhibits CYP2C19 reducing clopidogrel activation,Reduced antiplatelet effect increasing cardiovascular event risk,Use pantoprazole instead; avoid omeprazole with clopidogrel,A,NEJM 2010 COGENT Trial
Ciprofloxacin,Theophylline,pharmacokinetic,major,Ciprofloxacin inhibits CYP1A2 reducing theophylline clearance,Theophylline toxicity including nausea vomiting seizures and arrhythmias,Reduce theophylline dose 30-50%; monitor serum levels closely,A,Clinical Pharmacokinetics 1992
Lithium,Ibuprofen,pharmacokinetic,major,NSAIDs reduce renal prostaglandin synthesis decreasing lithium clearance,Elevated lithium plasma concentrations leading to toxicity and neurotoxicity,Avoid NSAIDs in lithium patients; use acetaminophen instead; monitor levels,A,Pharmacotherapy 2003
Digoxin,Amiodarone,pharmacokinetic,major,Amiodarone inhibits P-glycoprotein and renal tubular secretion of digoxin,Digoxin toxicity with bradycardia nausea visual disturbances and arrhythmias,Reduce digoxin dose by 50% at initiation; monitor serum levels and ECG,A,Journal of Clinical Pharmacology 1985
SSRIs,MAOIs,pharmacodynamic,contraindicated,Additive serotonergic activity causing serotonin syndrome,Life-threatening serotonin syndrome with hyperthermia rigidity and seizures,Contraindicated; allow 14-day washout between agents,A,FDA Label and Case Reports
Methotrexate,Trimethoprim,pharmacodynamic,major,Additive folate antagonism increasing toxicity risk,Severe bone marrow suppression megaloblastic anemia and mucositis,Avoid combination; if needed monitor CBC and folate levels closely,B,British Journal of Clinical Pharmacology 2007
Sildenafil,Nitrates,pharmacodynamic,contraindicated,Additive cGMP-mediated vasodilation causing profound hypotension,Severe and potentially fatal hypotension requiring emergency intervention,Absolute contraindication; do not administer within 24 hours of nitrate use,A,FDA Contraindication Label
Carbamazepine,Valproate,pharmacokinetic,moderate,Mutual enzyme induction and inhibition altering both drug levels,Carbamazepine toxicity and reduced valproate efficacy with unpredictable levels,Monitor serum levels of both drugs and adjust doses accordingly,A,Epilepsia 2006
Rifampicin,Oral_Contraceptives,pharmacokinetic,major,Rifampicin induces CYP3A4 increasing contraceptive hormone metabolism,Reduced contraceptive efficacy leading to unintended pregnancy,Use alternative or additional non-hormonal contraception during rifampicin therapy,A,Obstetrics and Gynecology 2011
ACE_Inhibitors,Potassium_Sparing_Diuretics,pharmacodynamic,moderate,Additive effect on renal potassium retention,Hyperkalemia with risk of cardiac arrhythmias especially in renal impairment,Monitor serum potassium levels; avoid in patients with renal impairment,B,Journal of Hypertension 2004
Fluoxetine,Tamoxifen,pharmacokinetic,major,Fluoxetine strongly inhibits CYP2D6 impairing tamoxifen activation to endoxifen,Reduced tamoxifen efficacy potentially increasing breast cancer recurrence risk,Avoid combination; use venlafaxine or gabapentin for hot flashes instead,A,JNCI 2010
Linezolid,Pseudoephedrine,pharmacodynamic,major,Additive adrenergic effects due to MAO inhibition by linezolid,Hypertensive crisis with severe headache and risk of stroke,Avoid sympathomimetics during linezolid therapy and for 2 weeks after,B,Antimicrobial Agents and Chemotherapy 2004
Tacrolimus,Fluconazole,pharmacokinetic,major,Fluconazole inhibits CYP3A4 and P-glycoprotein reducing tacrolimus metabolism,Tacrolimus toxicity with nephrotoxicity neurotoxicity and immunosuppression excess,Reduce tacrolimus dose by 50%; monitor trough levels every 2-3 days,A,Transplantation 2002
Methadone,Fluconazole,pharmacokinetic,moderate,Fluconazole inhibits CYP3A4 and CYP2C19 reducing methadone clearance,Elevated methadone levels with sedation respiratory depression and QTc prolongation,Monitor for methadone toxicity; reduce dose if QTc prolongation observed,B,Journal of Pain and Symptom Management 2008
Allopurinol,Azathioprine,pharmacokinetic,major,Allopurinol inhibits xanthine oxidase essential for azathioprine metabolism,Severe accumulation of azathioprine metabolites causing bone marrow suppression,Reduce azathioprine dose by 75%; monitor CBC weekly for first month,A,Annals of Rheumatic Diseases 1966
Phenytoin,Folic_Acid,pharmacokinetic,moderate,Folic acid may increase phenytoin metabolism and reduce absorption,Lowered phenytoin serum levels risking breakthrough seizures,Monitor phenytoin levels when starting or stopping folate supplementation,B,Epilepsia 1999
